trade_id,ticker,trade_date,price,volume,venue_code,side
1044,JNJ,2026-01-03,,1000.0,XNYS,SELL
1045,JNJ,2026-01-03,,7500.0,XNYS,SELL
1012,MSFT,2026-01-07,438.92,1500.0,XNAS,SELL
1002,AAPL,2026-01-08,224.96,1000.0,XNAS,BUY
1013,MSFT,2026-01-11,447.6,7500.0,XNAS,BUY
1023,JPM,2026-01-13,201.75,750.0,XNYS,BUY
1001,AAPL,2026-01-15,230.02,2500.0,XNAS,SELL
1024,JPM,2026-01-17,206.01,750.0,XNYS,SELL
1034,XOM,2026-01-27,124.22,,XNYS,BUY
1014,MSFT,2026-02-02,464.03,2500.0,XNAS,BUY
1035,XOM,2026-02-06,121.68,2500.0,XNYS,BUY
1047,JNJ,2026-02-06,157.04,12000.0,XNYS,SELL
1003,AAPL,2026-02-09,219.86,7500.0,XNAS,BUY
1046,JNJ,2026-02-09,159.38,2000.0,XNYS,BUY
1036,XOM,2026-02-12,121.6,5000.0,XNYS,BUY
1025,JPM,2026-02-13,211.07,2500.0,XNYS,BUY
1015,MSFT,2026-02-14,488.11,1500.0,XNAS,SELL
1004,AAPL,2026-02-16,215.86,2000.0,XNAS,SELL
1026,JPM,2026-03-03,207.51,5000.0,XNYS,BUY
1048,JNJ,2026-03-03,149.33,250.0,XNYS,BUY
1037,XOM,2026-03-06,120.75,2000.0,XNYS,BUY
1005,AAPL,2026-03-13,209.18,,XNAS,SELL
1027,JPM,2026-03-15,208.91,1000.0,XNYS,BUY
1016,MSFT,2026-03-18,462.27,2000.0,XNAS,SELL
1038,XOM,2026-03-18,115.35,,XNYS,BUY
1049,JNJ,2026-03-19,142.91,1500.0,XNYS,SELL
1006,AAPL,2026-03-26,215.45,2500.0,XNAS,SELL
1039,XOM,2026-04-04,115.25,250.0,XNYS,SELL
1028,JPM,2026-04-08,215.62,1500.0,XNYS,SELL
1051,JNJ,2026-04-11,153.96,500.0,XNYS,BUY
1007,AAPL,2026-04-18,215.45,7500.0,XNAS,SELL
1040,XOM,2026-04-21,119.27,1000.0,XNYS,BUY
1018,MSFT,2026-04-22,,7500.0,XNAS,SELL
1050,JNJ,2026-04-23,145.38,12000.0,XNYS,BUY
1029,JPM,2026-04-24,214.77,750.0,XNYS,SELL
1017,MSFT,2026-04-26,481.84,1500.0,XNAS,BUY
1019,MSFT,2026-05-02,,12000.0,XNAS,BUY
1031,JPM,2026-05-05,223.38,1000.0,XNYS,BUY
1008,AAPL,2026-05-13,,1000.0,XNAS,BUY
1020,MSFT,2026-05-18,477.5,7500.0,XNAS,SELL
1042,XOM,2026-05-19,111.73,1000.0,XNYS,SELL
1009,AAPL,2026-05-20,226.7,7500.0,XNAS,SELL
1041,XOM,2026-05-22,116.05,1500.0,XNYS,BUY
1052,JNJ,2026-05-22,158.46,7500.0,XNYS,BUY
1030,JPM,2026-05-26,219.23,1500.0,XNYS,BUY
1011,AAPL,2026-06-03,224.65,250.0,XNAS,SELL
1033,JPM,2026-06-09,225.6,250.0,XNYS,SELL
1022,MSFT,2026-06-10,,7500.0,XNAS,BUY
1010,AAPL,2026-06-18,236.69,500.0,XNAS,SELL
1021,MSFT,2026-06-20,483.72,12000.0,XNAS,SELL
1032,JPM,2026-06-22,223.88,1000.0,XNYS,SELL
1043,XOM,2026-06-22,112.34,1500.0,XNYS,BUY
1054,JNJ,2026-06-24,149.53,5000.0,XNYS,SELL
1053,JNJ,2026-06-25,155.12,5000.0,XNYS,BUY
1027,JPM,2026-03-15,208.91,1000.0,XNYS,BUY
1039,XOM,2026-04-04,115.25,250.0,XNYS,SELL
